"ID","Number of Test B"
"1","7"
"2","6"
"3","4"
"4","6"
"5","7"
"6","3"
"7","2"
"8","4"
"9","2"
"10","4"
"11","4"
"12","3"
"13","2"
"14","4"
"15","6"
"16","6"
"17","4"
"18","0"
"19","2"
"20","6"
"21","6"
"22","7"
"23","4"
"24","3"
"25","4"
"26","1"
"27","6"
"28","6"
"29","5"
"30","5"
"31","3"
"32","1"
"33","7"
"34","0"
"35","2"
"36","3"
"37","6"
"38","7"
"39","4"
"40","4"
"41","5"
"42","2"
"43","1"
"44","7"
"45","4"
"46","7"
"47","2"
"48","7"
"49","6"
"50","7"
"51","4"
"52","6"
"53","2"
"54","5"
"55","1"
"56","5"
"57","0"
"58","5"
"59","4"
"60","5"
"61","7"
"62","6"
"63","1"
"64","5"
"65","7"
"66","0"
"67","7"
"68","5"
"69","1"
"70","7"
"71","0"
"72","3"
"73","6"
"74","2"
"75","7"
"76","5"
"77","1"
"78","7"
"79","6"
"80","1"
"81","7"
"82","7"
"83","4"
"84","6"
"85","7"
"86","2"
"87","6"
"88","5"
"89","3"
"90","4"
"91","2"
"92","1"
"93","7"
"94","7"
"95","2"
"96","6"
"97","7"
"98","4"
"99","1"
"100","7"
"101","5"
"102","0"
"103","7"
"104","4"
"105","7"
"106","0"
"107","0"
"108","4"
"109","4"
"110","7"
