"ID","Number of Test B"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","0"
"8","0"
"9","1"
"10","1"
"11","1"
"12","0"
"13","0"
"14","1"
"15","1"
"16","1"
"17","1"
"18","0"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","0"
"26","0"
"27","1"
"28","1"
"29","1"
"30","1"
"31","1"
"32","0"
"33","1"
"34","0"
"35","0"
"36","0"
"37","1"
"38","1"
"39","1"
"40","0"
"41","1"
"42","1"
"43","0"
"44","1"
"45","1"
"46","1"
"47","0"
"48","1"
"49","1"
"50","1"
"51","1"
"52","1"
"53","1"
"54","1"
"55","0"
"56","1"
"57","0"
"58","1"
"59","1"
"60","0"
"61","1"
"62","1"
"63","0"
"64","1"
"65","0"
"66","0"
"67","1"
"68","1"
"69","0"
"70","1"
"71","0"
"72","1"
"73","1"
"74","1"
"75","1"
"76","0"
"77","0"
"78","1"
"79","1"
"80","0"
"81","1"
"82","1"
"83","0"
"84","1"
"85","1"
"86","1"
"87","1"
"88","1"
"89","0"
"90","1"
"91","1"
"92","0"
"93","1"
"94","1"
"95","0"
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","0"
"103","1"
"104","0"
"105","1"
"106","0"
"107","0"
"108","1"
"109","1"
"110","1"
