"ID","Number of Test B"
"1","3"
"2","3"
"3","2"
"4","2"
"5","3"
"6","3"
"7","0"
"8","2"
"9","2"
"10","2"
"11","2"
"12","2"
"13","0"
"14","2"
"15","3"
"16","3"
"17","2"
"18","0"
"19","1"
"20","3"
"21","3"
"22","3"
"23","2"
"24","2"
"25","1"
"26","1"
"27","3"
"28","3"
"29","2"
"30","2"
"31","2"
"32","0"
"33","3"
"34","0"
"35","1"
"36","2"
"37","1"
"38","3"
"39","2"
"40","2"
"41","1"
"42","2"
"43","0"
"44","3"
"45","3"
"46","3"
"47","1"
"48","3"
"49","1"
"50","3"
"51","2"
"52","3"
"53","2"
"54","3"
"55","1"
"56","3"
"57","0"
"58","2"
"59","1"
"60","1"
"61","3"
"62","2"
"63","0"
"64","2"
"65","2"
"66","0"
"67","3"
"68","2"
"69","0"
"70","3"
"71","0"
"72","1"
"73","3"
"74","2"
"75","3"
"76","2"
"77","1"
"78","3"
"79","3"
"80","0"
"81","3"
"82","3"
"83","1"
"84","2"
"85","3"
"86","1"
"87","2"
"88","3"
"89","2"
"90","2"
"91","1"
"92","0"
"93","3"
"94","3"
"95","1"
"96","3"
"97","3"
"98","1"
"99","1"
"100","3"
"101","2"
"102","0"
"103","3"
"104","2"
"105","3"
"106","0"
"107","0"
"108","1"
"109","2"
"110","3"
