"ID","Number of Test B"
"1","2"
"2","2"
"3","2"
"4","2"
"5","2"
"6","2"
"7","0"
"8","1"
"9","2"
"10","1"
"11","1"
"12","1"
"13","0"
"14","1"
"15","2"
"16","2"
"17","1"
"18","0"
"19","1"
"20","2"
"21","2"
"22","2"
"23","2"
"24","2"
"25","0"
"26","1"
"27","2"
"28","2"
"29","2"
"30","2"
"31","2"
"32","0"
"33","2"
"34","0"
"35","0"
"36","1"
"37","1"
"38","2"
"39","2"
"40","1"
"41","1"
"42","2"
"43","0"
"44","2"
"45","2"
"46","2"
"47","1"
"48","2"
"49","1"
"50","2"
"51","2"
"52","2"
"53","2"
"54","2"
"55","0"
"56","2"
"57","0"
"58","2"
"59","1"
"60","0"
"61","2"
"62","2"
"63","0"
"64","1"
"65","1"
"66","0"
"67","2"
"68","2"
"69","0"
"70","2"
"71","0"
"72","1"
"73","2"
"74","2"
"75","2"
"76","1"
"77","0"
"78","2"
"79","2"
"80","0"
"81","2"
"82","2"
"83","1"
"84","1"
"85","2"
"86","1"
"87","1"
"88","2"
"89","0"
"90","1"
"91","1"
"92","0"
"93","2"
"94","2"
"95","1"
"96","2"
"97","2"
"98","1"
"99","1"
"100","2"
"101","2"
"102","0"
"103","2"
"104","1"
"105","2"
"106","0"
"107","0"
"108","1"
"109","1"
"110","2"
