ID,num_logins,days_no_activities,act_per_day,num_online_meetings,avg_due,avg_time_test, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials,Average number of activites accessed before each test,Procedures Quiz,Surveys,CyberRat Assignments,Unit Discussions paticipation,Fluency Drills paticipation,Crossword paticipation,Above Average
1,56,32,7.079365253,3,2.285714286,43.98452381,34,12,17,66,2,5,18,3,8,2,Y
2,18,52,3.714285612,3,0,27.29848485,8,5,8,35,6,9,4,13,4,1,Y
3,63,28,6.761904716,1,0.4,25.33333333,31,3,65,90,3,13,1,31,9,3,N
4,59,30,6.888888836,10,2.571428571,35.18333333,28,15,4,70,4,2,0,2,0,0,N
5,109,14,11.3015871,0,0.25,60.0375,34,25,74,65,2,5,0,2,1,2,Y
6,141,3,16.15872955,0,3.1,29.44833333,28,18,100,105,2,13,5,14,9,1,N
7,100,31,9.761904716,0,-3.5,41.30714286,33,25,82,0,0,0,0,0,0,0,N
8,69,33,7.333333492,4,-4.571428571,583.8066667,29,5,45,98,3,4,0,2,19,1,N
9,92,17,8.095237732,11,2.777777778,20.40555556,32,14,74,70,3,4,2,12,13,9,Y
11,110,15,11.20634937,0,0.727272727,52.03787879,55,58,134,0,3,6,0,4,0,0,Y
12,76,21,10.55555534,2,0,22.14848485,24,15,76,67,2,2,9,5,0,0,Y
13,93,28,8.650794029,7,0.25,23.94166667,48,18,45,102,2,5,12,80,3,2,Y
14,71,30,7.380952358,5,1.222222222,177.95,22,0,64,108,2,4,3,17,14,2,Y
15,55,39,7.634920597,1,2.083333333,16.24333333,33,19,18,87,2,4,2,4,9,2,Y
16,97,19,14.33333302,3,1.846153846,20.34615385,27,47,40,93,3,4,1,4,7,3,Y
17,64,32,6.317460537,1,2.538461538,61.32564103,47,23,64,78,2,5,2,10,3,5,Y
18,44,36,6.317460537,0,0.454545455,106.1833333,35,16,69,66,2,3,0,5,0,2,N
19,95,16,11.36507893,9,1.571428571,32.36904762,36,13,74,68,3,3,0,10,10,0,Y
20,61,29,7.269841194,6,0.666666667,27.11851852,23,12,64,124,2,3,9,53,13,4,N
21,43,40,8.126984596,0,0.090909091,283.8939394,27,2,55,59,2,2,0,11,7,1,N
22,67,26,7.936507702,5,2.076923077,17.93974359,35,11,46,60,3,4,7,1,2,2,Y
23,83,17,9.857142448,6,1.571428571,323.7809524,51,39,115,103,3,8,6,35,4,3,Y
24,44,37,9.888889313,11,0.666666667,23.41060606,17,10,18,38,2,3,1,1,1,1,Y
25,104,19,13.46031761,4,2.7,42.01333333,28,14,18,68,3,5,0,6,1,2,Y
26,47,38,4.777777672,1,-10,385.5833333,26,5,32,70,7,4,2,10,6,8,N
27,105,19,12.20634937,4,3,81.57916667,27,20,91,73,2,3,3,9,4,1,Y
28,41,40,4.507936478,0,0.25,47.46388889,25,2,2,88,2,4,0,13,5,2,N
29,116,12,10.39682579,0,1.928571429,43.97820513,21,16,45,89,4,3,16,32,17,11,N
30,106,20,9.476190567,3,2.583333333,38.81527778,29,42,47,120,2,5,28,65,21,13,Y
31,65,26,10.34920597,9,2.25,22.16944444,31,9,43,44,3,3,0,8,2,0,Y
32,95,11,10.03174591,3,1.8,25.645,35,18,77,102,3,11,12,7,9,2,Y
33,58,34,7.460317612,0,2.25,23.28541667,39,54,17,42,1,4,0,0,0,0,Y
34,140,18,14.68253994,5,1.076923077,31.72179487,50,60,39,92,4,5,0,6,3,3,N
35,59,32,5.888888836,3,2.142857143,22.48095238,40,52,11,58,2,4,0,3,1,0,N
36,66,28,7.492063522,1,0.714285714,219.75,16,3,24,86,3,8,6,8,8,13,N
37,41,35,5.047618866,12,-3.142857143,256.9166667,31,29,50,93,3,6,15,22,5,2,N
38,98,33,8.190476418,4,-0.3,31.22222222,26,1,11,89,2,4,5,11,6,1,N
39,101,26,8.222222328,3,0.928571429,24.55,33,18,78,69,2,4,3,26,8,1,Y
