ID,num_logins,days_no_activities,act_per_day,num_online_meetings,avg_due,avg_time_test, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials,Average number of activites accessed before each test,Procedures Quiz,Surveys,CyberRat Assignments,Unit Discussions paticipation,Fluency Drills paticipation,Crossword paticipation,Above Average
1,50,29,7.285714149,3,2.5,50.12916667,34,12,16,60,2,5,18,3,7,2,Y
2,17,46,3.857142925,3,0,28.23148148,8,5,8,35,6,9,4,13,4,1,Y
3,58,25,6.714285851,1,0.5,25.19791667,29,3,56,82,3,13,1,31,7,2,N
4,54,27,7.089285851,9,2.666666667,38.42575758,25,15,4,62,4,2,0,2,0,0,N
5,102,11,11.78571415,0,0.272727273,60.20151515,30,23,68,57,2,5,0,2,1,2,Y
6,129,3,16.2857151,0,3,30.94259259,26,18,86,83,2,13,5,10,6,0,N
7,86,27,9.678571701,0,-3.888888889,45.06944444,28,20,73,0,0,0,0,0,0,0,N
8,62,29,7.535714149,4,-4,712.575,20,4,43,87,3,4,0,2,13,1,N
9,82,15,8.428571701,10,2.625,21.55833333,28,11,67,61,3,4,2,11,12,8,Y
11,103,12,11.76785755,0,0.7,55.58166667,49,55,129,0,3,6,0,4,0,0,Y
12,70,18,11.16071415,2,-0.333333333,22.54833333,21,15,62,58,2,2,9,4,0,0,Y
13,83,25,8.767857552,7,0.285714286,24.02619048,42,16,40,94,2,5,12,77,3,2,Y
14,60,28,7.125,5,1,225.4404762,20,0,56,100,2,4,3,17,13,2,Y
15,45,35,7.285714149,1,1.9,18.05,26,17,17,78,2,4,2,4,9,2,Y
16,81,17,13.53571415,3,2.2,21.68833333,24,45,35,82,3,4,1,4,7,3,Y
17,60,29,6.446428776,1,2.454545455,71.61212121,43,21,56,68,2,5,2,10,3,5,Y
18,37,33,5.946428776,0,0.375,138.3208333,32,16,62,60,2,3,0,3,0,2,N
19,84,15,11.64285755,9,1.666666667,33.69166667,33,12,68,55,3,3,0,10,8,0,Y
20,56,25,7.446428776,6,0.625,29.09166667,21,11,51,94,2,3,9,48,9,2,N
21,28,37,7.553571224,0,0.111111111,186.8592593,21,2,45,49,2,2,0,11,6,1,N
22,59,22,8.089285851,4,2.166666667,18.92638889,29,9,39,47,3,4,7,1,2,2,Y
23,78,14,10.23214245,5,1.583333333,257.7263889,42,32,95,94,3,8,6,29,4,3,Y
24,40,32,9.910714149,10,0.4,26.62222222,17,10,18,35,2,3,1,1,1,1,Y
25,94,15,14.03571415,4,2.777777778,44.8462963,21,13,15,62,3,5,0,6,0,2,Y
26,44,33,5.303571224,1,-10,385.5833333,23,5,28,63,7,4,2,10,5,6,N
27,92,17,12.16071415,4,2.875,84.03571429,25,18,86,64,2,3,3,9,4,1,Y
28,36,37,4.428571224,0,0.3,46.2,22,2,2,81,2,4,0,11,5,2,N
29,105,10,10.625,0,2,48.12727273,18,16,43,83,4,3,16,30,15,10,N
30,100,16,10.125,3,2.5,43.48,26,37,38,108,2,5,28,63,21,12,Y
31,60,23,10.75,8,2.333333333,26.01666667,28,8,37,44,3,3,0,8,2,0,Y
32,87,9,10.28571415,3,1.888888889,26.6037037,30,18,69,94,3,11,12,7,8,2,Y
33,52,31,7.5,0,2.3,24.91666667,31,44,14,37,1,4,0,0,0,0,Y
34,131,15,15.5714283,5,1.083333333,33.29583333,45,52,30,84,4,5,0,6,3,3,N
35,52,29,5.910714149,3,1.833333333,24.43888889,36,44,11,52,2,4,0,3,0,0,N
36,62,24,8.017857552,1,0.714285714,18.65277778,16,3,23,81,3,8,6,8,8,13,N
37,36,31,5.196428776,11,0.5,26.33,27,24,43,88,3,6,15,22,5,2,N
38,78,32,7.767857075,4,-0.375,34.7547619,22,1,10,81,2,4,5,9,5,1,N
39,94,22,8.446428299,3,0.75,26.7,30,18,67,58,2,4,3,23,7,1,Y
40,55,23,6.357142925,0,1.9,17.57666667,20,0,47,121,2,3,14,19,23,4,Y
41,124,14,14.10714245,5,3.222222222,21.19259259,27,41,37,50,2,3,0,1,0,0,Y
42,33,33,6.839285851,11,1.1,138.8,26,15,75,67,3,7,2,3,6,2,N
43,37,34,6.714285851,1,0.375,19.075,31,40,47,27,3,4,0,2,1,0,N
44,65,27,9.232142448,2,1,24.86190476,23,25,17,62,1,3,2,1,5,3,Y
45,101,17,13.8035717,5,0.1,73.54666667,52,62,85,68,3,4,4,2,1,1,N
46,110,14,10.8214283,4,-0.6,45.76296296,22,0,72,56,3,4,1,2,0,0,Y
47,89,17,14.125,6,0.727272727,38.53939394,21,3,36,51,2,5,1,4,0,0,Y
48,66,18,8.714285851,3,3,17.3875,22,8,42,109,2,3,6,44,7,8,N
49,61,20,8.267857552,3,1.5,184.8333333,13,1,32,54,3,5,6,5,1,1,Y
50,67,24,7.410714149,7,-0.2,496.9185185,19,16,48,57,2,4,2,2,3,0,N
51,93,18,9.214285851,12,0,157.4066667,24,3,50,77,3,5,6,17,13,6,Y
52,51,35,6.696428776,1,1.777777778,47.46041667,27,8,31,98,2,5,10,3,14,6,N
53,98,9,11.71428585,4,1,27.9,25,1,28,85,3,4,11,2,3,2,N
54,121,14,10.48214245,1,0.285714286,406.5309524,28,25,90,100,4,5,32,29,11,2,N
55,139,3,16.2142849,14,1.2,321.1066667,23,6,28,70,3,5,5,2,12,2,N
