ID,num_logins,days_no_activities,act_per_day,num_online_meetings,avg_due,avg_time_test, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials,Average number of activites accessed before each test,Procedures Quiz,Surveys,CyberRat Assignments,Unit Discussions paticipation,Fluency Drills paticipation,Crossword paticipation,Above Average
1,62,36,7.58571434,3,2.25,41.05625,44,16,25,77,2,5,18,3,10,3,Y
2,28,57,4.08571434,3,0,23.97692308,8,5,8,35,6,9,4,13,4,1,Y
3,72,30,6.800000191,1,0.363636364,23.91969697,36,3,70,98,3,13,1,31,11,3,N
4,65,34,6.657142639,10,2.571428571,35.18333333,32,16,4,79,4,2,0,2,4,0,N
5,116,17,11.22857189,0,0.266666667,57.51444444,39,27,84,71,2,5,0,2,1,2,Y
6,157,4,16.22857094,0,3.083333333,30.875,31,18,104,116,2,13,5,16,11,1,N
7,112,34,9.771428108,0,-2.916666667,36.65555556,47,27,91,0,0,0,0,0,0,0,N
8,77,36,7.58571434,4,-4.777777778,421.9952381,32,6,49,107,3,4,0,2,20,1,N
9,101,19,8.357142448,12,2.7,21.09833333,37,16,84,80,3,4,2,12,14,9,Y
11,120,18,11.30000019,0,0.75,51.28472222,57,60,155,0,3,6,0,4,0,0,Y
12,79,26,9.657142639,2,0.214285714,22.08333333,26,15,89,84,2,2,9,5,1,0,Y
13,100,32,8.571428299,7,0.2,21.02833333,51,19,45,114,2,5,12,88,5,2,Y
14,75,33,7.185714245,5,1.727272727,280.1333333,27,1,77,121,2,4,3,17,16,3,Y
15,58,43,7.271428585,1,2.071428571,16.09583333,33,19,19,95,2,4,2,4,11,2,Y
16,104,21,13.5714283,3,1.846153846,20.34615385,32,50,52,99,3,4,1,4,7,3,Y
17,72,37,6.17142868,1,2.538461538,61.32564103,53,25,73,83,2,5,2,10,3,5,Y
18,50,40,6.271428585,0,0.5,99.76111111,40,17,73,74,2,3,0,5,0,2,N
19,108,18,11.12857151,10,1.625,31.83958333,37,13,74,77,3,3,0,12,11,0,Y
20,65,33,7.04285717,6,0.7,27.11851852,26,12,70,124,2,3,9,58,15,4,N
21,58,43,8.91428566,0,0.142857143,226.2690476,32,2,58,59,2,2,0,12,7,1,N
22,77,29,7.82857132,5,2.076923077,17.93974359,38,13,46,67,3,4,7,2,3,2,Y
23,93,19,9.742856979,7,1.5,288.0427083,54,39,130,113,3,8,6,35,4,3,Y
24,47,40,9.45714283,12,0.923076923,23.43611111,17,10,18,44,2,3,1,1,1,1,Y
25,119,21,14.68571472,4,2.818181818,41.68939394,28,15,18,74,3,5,0,6,1,2,Y
26,63,40,6.857142925,1,-10.85714286,237.5547619,30,5,37,94,7,4,6,10,6,8,N
27,114,21,11.62857151,5,3.1,82.39074074,32,20,100,73,2,3,3,9,4,1,Y
28,46,44,4.5,0,0.142857143,46.30238095,29,2,2,98,2,4,0,13,5,2,N
29,129,13,11.35714245,0,1.9375,44.10111111,23,16,48,99,4,3,16,32,18,12,N
30,116,22,10.31428528,4,-1.125,37.87435897,36,48,68,135,2,5,28,77,28,14,Y
31,69,30,9.814285278,9,2.071428571,21.32380952,37,9,56,71,3,5,6,8,2,0,Y
