ID,num_logins,days_no_activities,act_per_day,num_online_meetings,avg_due,avg_time_test, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials,Average number of activites accessed before each test,Procedures Quiz,Surveys,CyberRat Assignments,Unit Discussions paticipation,Fluency Drills paticipation,Crossword paticipation,Above Average
1,70,43,6.595238209,3,2.25,41.05625,44,16,25,77,2,5,18,3,10,3,Y
2,33,68,3.916666746,3,0,22.93666667,8,5,8,35,6,9,4,13,4,1,Y
3,91,38,7.523809433,1,0.307692308,22.81923077,39,3,78,98,3,13,1,34,19,3,N
4,79,40,7.345238209,10,2.25,35.15333333,44,26,6,96,4,2,0,2,19,0,N
5,132,24,10.29761887,0,0.25,57.31145833,54,27,84,77,2,5,0,2,1,2,Y
6,193,12,16.69047546,0,3.083333333,30.875,45,18,104,116,2,13,5,17,17,1,N
7,130,41,9.5,0,-2.5,160.0242424,53,28,91,0,0,0,0,0,0,0,N
8,85,45,7.059523582,4,-4.3,547.275,63,10,50,107,3,4,0,2,24,1,N
9,107,29,7.357142925,13,2.454545455,20.81060606,41,18,86,80,3,4,2,12,17,9,Y
11,134,24,11.16666698,0,0.75,51.28472222,94,67,156,0,3,6,0,4,0,0,Y
12,84,36,8.416666985,2,0.214285714,22.08333333,35,26,96,84,2,2,9,5,3,0,Y
13,113,41,8.678571701,7,0.166666667,20.7625,69,21,45,114,2,5,12,90,11,2,Y
14,78,46,6.464285851,5,1.727272727,280.1333333,34,1,78,121,2,4,3,17,17,3,Y
15,65,54,6.904761791,1,2.071428571,16.09583333,79,33,19,95,2,4,2,4,23,2,Y
16,121,28,14.98809528,3,0.6875,21.96,50,67,52,99,3,4,1,4,8,3,Y
17,86,44,6.321428776,1,2.357142857,57.7547619,60,27,73,92,2,5,2,14,7,7,Y
18,65,46,7.392857075,0,0.461538462,96.54102564,62,27,73,74,2,3,0,5,2,2,N
19,124,26,10.77380943,10,-4.333333333,31.83958333,39,13,74,77,3,3,0,12,12,0,Y
20,75,42,8.107142448,6,0.7,165.5266667,44,13,77,139,2,3,9,63,47,4,N
21,78,47,8.964285851,0,0.133333333,213.8111111,36,3,60,67,2,2,0,14,9,1,N
22,95,38,7.380952358,5,1.8,17.67777778,51,13,46,67,3,4,7,2,18,2,Y
23,98,31,8.785714149,7,1.5,288.0427083,100,72,131,113,3,8,6,37,9,3,Y
24,62,49,10.45238113,13,0.923076923,23.43611111,17,10,18,51,2,3,1,1,1,1,Y
25,134,29,14.61904716,4,-3.1875,40.90625,34,16,32,74,3,5,0,7,8,3,Y
26,92,49,9.047618866,1,-9.5,196.8907407,48,23,48,94,7,4,8,10,11,8,N
27,139,24,10.5,5,3.1,82.39074074,51,21,100,83,2,3,3,9,5,1,Y
28,52,53,4.404761791,0,0.125,48.70208333,33,2,7,98,2,4,0,13,8,2,N
29,142,21,10.35714245,0,1.9375,44.10111111,58,25,54,99,4,3,16,35,40,12,N
30,124,32,9.428571701,4,-1.125,37.87435897,48,49,84,135,2,5,28,85,32,14,Y
31,78,39,9,9,2.071428571,21.32380952,45,10,56,81,3,5,6,9,5,0,Y
32,113,18,10.16666698,3,0,25.97638889,54,18,88,117,3,11,12,7,10,2,Y
33,75,44,7.488095284,0,2.153846154,22.74074074,67,84,21,53,1,4,0,0,0,0,Y
34,174,25,14.11904716,5,0.9375,29.790625,101,70,42,101,4,5,0,6,3,3,N
35,68,48,5.047618866,3,1.375,22.48095238,60,69,11,72,2,4,0,3,4,0,N
36,78,42,6.797618866,1,0.5,157.7533333,55,3,84,92,3,8,6,9,8,13,N
37,70,42,6.452381134,13,-4.75,153.3939394,34,32,53,101,3,6,15,25,5,2,N
38,119,47,11.03571415,4,-0.214285714,26.49102564,34,1,14,95,2,4,5,19,22,1,N
39,136,30,8.107142448,3,1.0625,24.496875,69,18,97,77,2,4,3,28,19,1,Y
40,65,45,5.119047642,0,2.083333333,16.46527778,44,1,74,147,2,3,14,21,37,4,Y
41,157,28,12.95238113,5,0.6,18.73846154,81,42,41,62,2,3,0,1,0,0,Y
42,52,48,6.464285851,13,1,117.1392857,37,16,97,78,3,7,2,6,7,2,N
43,55,52,7.880952358,1,-3.384615385,17.34615385,62,57,55,72,3,4,5,6,6,0,N
44,87,43,8.273809433,3,1.2,22.32222222,41,42,22,91,1,3,2,1,20,14,Y
45,156,25,14.0714283,6,0.0625,72.44270833,91,71,103,86,3,4,5,2,4,1,N
