"ID","Online meetings attended","Average number of activites accessed before each test","Procedures Quiz","Surveys","CyberRat Assignments","Unit Discussions paticipation","Fluency Drills paticipation","Crossword paticipation","Game Shows paticipation","days between test 1 available and submission","days between test 2 available and submission","days between test 3 available and submission","days between test 4 available and submission","days between test 5 available and submission","days between test 6 available and submission","days between test 7 available and submission"
"26","0","94.0","7","4","8","10","11","8","8","3","4","4","4","4","4","3"
"27","5","83.0","2","3","3","9","5","1","2","0","0","3","2","3","3","4"
"28","7","98.0","2","4","0","13","8","2","1","2","1","3","2","3","2","3"
"29","13","99.0","4","3","16","35","40","12","11","3","4","3","4","3","2","0"
"30","4","135.0","2","5","28","85","32","14","14","0","0","1","1","3","2","0"
"31","1","81.0","3","5","6","9","4","0","0","-20","12","-6","23","16","10","4"
"32","5","117.0","3","11","12","7","10","2","1","0","1","0","0","0","0","0"
"33","0","53.0","1","4","0","0","0","0","0","3","4","3","3","4","4","4"
"34","0","101.0","4","5","0","6","3","3","0","1","1","1","1","1","2","1"
"35","1","72.0","2","4","0","3","3","0","0","2","4","4","4","4","4","4"
"36","4","92.0","3","8","6","9","8","13","11","1","1","1","2","2","1","1"
"37","9","101.0","3","6","15","22","5","2","4","0","0","3","3","3","1","3"
"38","3","95.0","2","4","5","19","22","1","0","1","1","1","2","2","3","0"
"39","0","77.0","2","4","3","28","19","1","16","2","2","2","0","0","1","3"
"40","5","147.0","2","3","14","21","37","4","11","2","2","3","2","2","3","3"
"41","3","62.0","2","3","0","1","0","0","0","2","2","2","3","2","0","8"
"42","1","78.0","3","7","2","4","6","2","1","3","3","4","3","3","4","4"
"43","13","72.0","3","4","5","6","6","0","0","2","4","2","20","17","11","4"
"44","4","91.0","1","3","2","1","16","13","16","4","5","4","4","4","4","4"
"45","3","86.0","3","4","5","2","4","1","0","2","2","4","4","2","2","2"
"46","10","72.0","3","4","1","2","12","0","0","0","0","2","0","2","2","4"
"47","0","61.0","2","5","1","5","1","0","0","0","1","1","2","2","1","1"
"48","5","134.0","2","3","6","52","19","9","9","0","0","0","0","1","0","1"
"49","13","68.0","3","5","6","5","4","1","0","2","4","3","3","2","3","3"
"50","1","77.0","2","5","2","2","3","0","2","4","4","4","4","2","3","4"
"51","3","93.0","3","5","6","19","23","7","3","1","2","3","3","3","2","2"
"52","6","134.0","2","5","21","4","29","6","7","3","4","4","4","4","4","4"
"53","4","103.0","4","4","11","2","7","2","0","3","3","3","2","1","2","2"
"54","7","149.0","4","5","68","45","38","2","2","3","3","3","3","3","4","0"
"55","3","85.0","3","5","5","3","22","2","2","1","1","0","1","1","1","1"
"56","3","81.0","3","4","3","7","2","2","2","1","1","3","4","4","2","2"
"57","0","112.0","4","5","8","8","8","1","1","3","4","4","4","3","4","3"
"58","9","83.0","0","5","1","7","10","1","0","4","4","4","4","4","4","4"
"59","14","93.0","3","4","5","12","0","0","0","4","4","4","4","4","4","3"
"60","1","70.0","2","4","1","9","3","1","0","1","1","2","3","4","3","3"
"61","4","120.0","0","5","6","30","22","2","9","3","2","4","2","2","2","3"
"62","1","106.0","5","5","6","36","3","1","1","4","3","3","4","4","4","4"
"63","16","152.0","2","3","23","30","13","5","8","3","2","2","3","3","3","3"
"64","0","80.0","3","6","21","10","4","2","1","3","3","3","3","3","3","3"
"65","16","103.0","3","5","11","50","7","1","2","2","3","1","2","2","3","2"
"66","6","125.0","2","6","0","14","19","1","6","1","2","1","3","4","2","2"
"67","4","91.0","2","3","11","21","6","1","3","2","4","3","4","4","4","4"
"68","0","152.0","2","7","2","63","66","11","12","1","1","1","0","0","0","0"
"69","10","86.0","2","3","1","1","6","0","7","2","4","4","4","4","4","2"
"70","8","161.0","2","10","88","30","19","5","10","1","0","2","2","1","1","3"
"71","0","101.0","5","4","0","12","11","1","1","3","3","2","3","3","3","3"
"72","3","83.0","2","3","6","0","2","0","0","2","3","4","4","4","2","2"
"73","7","131.0","5","8","1","11","16","2","1","1","2","2","1","3","3","3"
"74","4","122.0","1","7","3","8","13","0","0","2","3","4","4","4","4","4"
"75","6","91.0","2","5","6","3","10","1","7","-22","6","8","6","4","4","4"
"76","12","70.0","3","6","0","1","1","1","0","0","1","1","1","0","1","2"
"77","6","70.0","3","3","0","2","2","0","0","2","0","1","2","2","2","1"
"78","5","121.0","2","3","21","103","1","2","0","0","0","0","0","0","0","2"
"79","0","108.0","2","6","7","9","5","2","1","3","3","3","4","4","4","4"
"80","0","73.0","3","4","0","1","2","0","0","2","2","2","2","3","1","1"
"81","0","141.0","4","7","9","37","23","2","2","3","3","2","3","3","3","3"
"82","0","68.0","3","2","3","5","38","1","2","3","3","3","3","3","3","3"
"83","5","111.0","2","4","10","3","10","5","3","4","4","-5","18","17","11","4"
"84","7","67.0","2","2","0","0","13","2","4","3","3","4","3","4","4","4"
"85","1","103.0","2","6","0","17","15","6","7","2","1","4","2","3","3","1"
"86","12","78.0","3","3","0","6","10","1","1","0","1","0","0","0","0","0"
"87","3","35.0","7","8","1","10","0","2","0","-21","6","11","11","-1","-1","-1"
"88","0","58.0","4","3","1","3","12","1","0","3","4","11","4","4","4","3"
"89","5","80.0","7","6","12","12","5","2","6","2","1","2","1","2","0","1"
"90","4","43.0","4","4","0","7","4","0","1","5","7","-10","13","13","6","4"
"91","4","128.0","2","5","6","9","19","12","12","3","4","4","3","3","4","3"
"92","0","59.0","2","2","1","0","0","0","0","1","2","3","2","4","2","2"
"93","3","91.0","3","4","6","9","5","2","0","1","3","3","3","3","2","0"
"94","1","84.0","2","4","0","1","1","0","0","1","1","3","2","4","1","1"
"95","0","102.0","2","7","9","43","5","4","2","3","3","3","3","3","3","3"
"96","9","129.0","2","8","22","91","34","9","4","3","8","10","11","10","-1","-1"
"97","2","84.0","2","6","2","8","17","2","1","1","1","2","2","3","1","4"
"98","4","83.0","2","3","1","37","1","1","1","1","2","0","3","3","2","1"
"99","0","99.0","2","5","5","15","4","3","1","4","4","4","4","4","4","4"
"100","5","84.0","2","4","0","3","2","1","1","4","4","3","3","1","1","4"
"101","13","79.0","2","3","0","3","2","1","0","0","1","3","0","0","0","2"
"102","8","64.0","2","4","3","30","13","1","1","1","8","1","4","1","1","1"
"103","0","100.0","3","4","12","17","15","1","0","1","3","4","3","3","3","3"
"104","3","115.0","4","5","2","22","6","9","6","3","4","4","4","4","4","4"
"105","2","107.0","2","3","3","12","20","7","11","0","0","1","0","0","0","1"
"106","3","67.0","1","2","0","4","8","0","0","2","3","3","3","4","4","3"
"107","4","95.0","2","5","9","15","11","0","1","3","4","4","4","4","3","3"
"108","12","179.0","2","4","9","13","24","12","11","1","2","1","2","3","1","3"
"109","2","112.0","3","5","0","7","7","2","1","4","4","4","7","7","6","4"
"110","2","89.0","2","5","6","2","21","4","1","0","0","1","0","0","0","0"
"111","1","65.0","3","4","3","12","12","1","1","1","1","3","3","3","2","4"
